track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,popularity_category,duration_minutes,explicit_label
76r1P6yfRpuicgw5pxTvae,CoComelon,"CoComelon Kids Hits, Vol. 1",Yes Yes Vegetables Song,59.0,226626.0,False,0.932,0.174,7.0,-12.107,1.0,0.06,0.585,0.0,0.064,0.935,100.012,4.0,children,High,3.78,Non-Explicit
3NEgsdTwk3tIjt6x4d2VzE,CoComelon,"CoComelon Kids Hits, Vol. 2",Rock-a-Bye Baby,66.0,130496.0,False,0.715,0.217,5.0,-10.499,1.0,0.0319,0.822,0.0,0.102,0.509,119.902,3.0,children,High,2.17,Non-Explicit
6tPA07JAS9p9mEOVhLdFJp,The Little Sunshine Kids,100 Fun Songs for Kids Vol. 1,The Wheels on the Bus,66.0,87453.0,False,0.931,0.413,9.0,-11.014,1.0,0.0485,0.212,0.0,0.112,0.961,96.057,4.0,children,High,1.46,Non-Explicit
59Hq2KtDkoazGm4g7ohDbT,Kidz Bop Kids,Tutti in piscina Canzoni per bambini,Shake It Off,0.0,208026.0,False,0.672,0.915,7.0,-2.467,1.0,0.176,0.03,0.0,0.101,0.93,160.048,4.0,children,Low,3.47,Non-Explicit
1Z7tsmCvV0QboBo37Iykri,CoComelon,Nursery Rhymes by CoComelon Vol.2,She'll Be Coming Round the Mountain,63.0,134117.0,False,0.757,0.525,5.0,-9.651,1.0,0.0428,0.519,0.0,0.11,0.97,204.09,4.0,children,High,2.24,Non-Explicit
5IWLGZJR6d8pl5a5tka18u,Kidz Bop Kids,Para pedir dulces,Ghostbusters,1.0,200757.0,False,0.661,0.914,1.0,-5.207,0.0,0.0327,0.000176,0.0445,0.0802,0.788,120.058,4.0,children,Low,3.35,Non-Explicit
2lIZxCguQYSBaX64EOgmw7,Pinkfong;Music Lab Collective,Piano Songs for Kids,Baby Shark (arr. piano) - Lullaby,0.0,162610.0,False,0.481,0.0224,7.0,-31.026,1.0,0.0635,0.989,0.912,0.322,0.273,103.634,4.0,children,Low,2.71,Non-Explicit
23hmXGMYOSQ7jSGHJTZkub,Kidz Bop Kids,Отново на училище,Levitating,1.0,186466.0,False,0.706,0.798,5.0,-4.733,0.0,0.0374,0.00416,0.00283,0.106,0.812,103.017,4.0,children,Low,3.11,Non-Explicit
4IFILVvOQrVWbCDamYBNkF,Kidz Bop Kids,Para pedir dulces,Thriller,0.0,229020.0,False,0.675,0.972,6.0,-5.397,1.0,0.0898,0.014,0.000318,0.657,0.756,119.059,4.0,children,Low,3.82,Non-Explicit
7C6Sa6kFuJhtHaPugr2N0x,Kidz Bop Kids,Upbeat Kids Songs!,Shake It Off,0.0,208026.0,False,0.672,0.915,7.0,-2.467,1.0,0.176,0.03,0.0,0.101,0.93,160.048,4.0,children,Low,3.47,Non-Explicit
3UKkmMjbTCuCjFyiVjzLgj,Kidz Bop Kids,Para pedir dulces,Monster Mash,1.0,199266.0,False,0.641,0.808,7.0,-3.304,1.0,0.141,0.085,0.0,0.317,0.727,136.136,4.0,children,Low,3.32,Non-Explicit
0dOkOWfDJoR9z2YDffPewK,Kidz Bop Kids,Para pedir dulces,Purple People Eater,0.0,151106.0,False,0.555,0.859,9.0,-3.718,1.0,0.091,0.0448,0.0,0.203,0.802,158.113,4.0,children,Low,2.52,Non-Explicit
6aIc7sMNNJWJy07Z931z2I,Kidz Bop Kids,Diversión para los peques,Enemy,0.0,148009.0,False,0.596,0.694,7.0,-5.05,1.0,0.0713,0.0389,0.0,0.0908,0.52,154.023,4.0,children,Low,2.47,Non-Explicit
16fB04furFL6hVjis0tbJL,Kidz Bop Kids,Diversión para los peques,Good 4 U,0.0,166453.0,False,0.553,0.704,6.0,-4.866,0.0,0.125,0.00756,2.95e-05,0.0939,0.809,167.803,4.0,children,Low,2.77,Non-Explicit
